"","S1.1","S1.2","S1.3","S1.4","S1.5","S1.6","S1.7","S1.8","S1.9","S1.10","S1.11","S1.12","S1.13","S1.14","S1.15","S1.16","S1.17","S1.18","S2.1","S2.2","S2.3","S2.4","S2.5","S2.6","S2.7","S2.8","S2.9","S2.10","S2.11","S2.12","S2.13","S2.14","S2.15","S2.16","S2.17","S2.18","S3.1","S3.2","S3.3","S3.4","S3.5","S3.6","S3.7","S3.8","S3.9","S3.10","S3.11","S3.12","S3.13","S3.14","S3.15","S3.16","S3.17","S3.18","S4.1","S4.2","S4.3","S4.4","S4.5","S4.6","S4.7","S4.8","S4.9","S4.10","S4.11","S4.12","S4.13","S4.14","S4.15","S4.16","S4.17","S4.18","S5.1","S5.2","S5.3","S5.4","S5.5","S5.6","S5.7","S5.8","S5.9","S5.10","S5.11","S5.12","S5.13","S5.14","S5.15","S5.16","S5.17","S5.18"
"1",71.10030142,82.72178569,102.1544169,112.8740504,118.3715662,164.3964371,113.0494354,150.6602445,149.0759003,95.29285823,191.3011875,207.9421787,90.00574714,112.2624381,209.470441,116.433506,129.9412513,149.1564903,72.55799788,73.08596182,45.17857707,92.22013537,78.08373737,61.56703277,85.85830066,66.76930207,59.99088654,103.3881937,186.943091,79.05167281,174.6622408,106.463198,104.5518141,145.0498947,180.8605602,183.7925367,45.21684107,21.79924399,15.84949567,61.06248374,48.59604579,47.77324806,71.17060846,42.19589958,52.49641729,61.85271123,60.03920243,71.59988509,86.15883965,75.83915828,75.44897201,95.1020225,54.79965323,62.12375399,15.66919976,2.998971905,40.60962074,58.57196088,39.36238763,66.69806099,62.51870377,61.2229884,17.90311156,49.75811898,50.52105856,31.38856552,68.02199546,29.39119656,45.83102639,40.92563507,32.56650613,62.04840134,60.75016773,36.38476551,31.43413615,79.30435153,80.2088458,59.11230434,57.95173991,62.01778108,43.3434995,54.87528444,83.63465955,75.52513799,56.07147653,51.38683236,61.24355543,67.48240302,71.34382054,83.12943867
"2",75.98493032,87.8994902,107.6010768,123.8062392,118.8062055,160.8846409,124.4132982,148.5188123,146.4723589,103.881274,189.3261472,203.2603473,97.87797504,109.8208505,206.9883118,124.4671229,132.1518681,145.9124959,79.87728435,80.53818521,54.17056007,92.23767427,78.09364591,62.19701769,86.73015982,70.27905956,62.11538055,104.6918394,186.6835554,82.31765558,175.5312406,107.5836198,105.9422484,145.6562789,181.1519398,182.6450603,51.6970477,27.84287433,22.22814539,61.60419674,49.51522112,49.86727125,75.01467708,42.90352336,53.64718145,63.40168365,60.86718699,73.00244804,88.01091596,76.51400024,80.06139848,96.75774333,54.82704711,63.43089609,21.85435813,8.474298331,46.67114314,58.78433482,39.84818292,77.56259545,63.56050678,62.21672088,23.69536471,50.37972298,51.4331168,36.1959944,69.56051448,31.12640291,50.36421604,41.67118742,32.26225584,67.31928386,62.33887894,37.32018382,32.60469735,81.04612801,81.57633715,62.01311963,60.44538608,62.47468494,46.18115709,55.96190662,85.85860772,76.65876999,57.96481003,51.41863394,64.34922658,69.50639101,73.73901451,83.47691151
"3",78.21903708,90.22979776,109.2772383,125.5680323,118.2951212,159.7293869,126.3339913,147.9752912,144.1490875,106.735944,189.0431861,203.7594546,99.08127797,109.6183355,205.5121379,124.709475,130.6515384,145.1219815,83.30051433,84.08820014,57.3086288,92.97925245,78.03102516,62.88111036,86.06841741,71.51830351,61.69088153,105.2373918,184.1216425,82.17488493,175.8484737,106.7856211,106.1460806,146.4464503,182.4622013,183.0900329,56.37611085,31.86682597,26.2563047,61.70444285,48.90297206,50.44937826,74.73227165,42.37208848,53.15599327,63.64483837,61.4003186,73.36806581,87.89200266,75.2633842,79.964648,96.52197561,54.83991912,63.3736489,24.95139825,11.49404967,51.94795383,58.76933327,40.94595831,81.09295869,63.64716578,61.81129914,24.17497656,51.07430354,52.14848641,37.03086985,69.66341119,31.30633605,50.60277809,41.85786764,32.23019126,68.06446293,61.38795704,37.13312026,32.54786593,81.1476649,80.82767883,61.86948899,60.72672369,62.37990043,46.62670712,55.31661038,85.79112457,77.03428951,57.52481138,51.64790048,63.45709565,70.87228929,74.06231554,84.67758953
"4",80.03968663,92.76370416,111.0023761,127.6646894,117.8001218,159.5989892,127.2705014,147.3720515,142.5932507,106.4108297,188.9574411,203.4903594,98.24092463,109.0420322,205.0150502,125.94767,130.5485194,144.8294001,86.19946932,86.25808812,61.73056089,93.59460953,78.03778147,62.15428543,85.56768598,71.45152265,61.8003306,105.4197858,182.5540216,82.05636825,176.2925643,107.7538885,106.6668573,146.7724599,183.72844,184.1769114,58.71850055,34.414498,30.19866731,62.72036529,48.10426473,50.26876842,73.64950694,41.60625528,53.12950984,62.98104344,61.1083468,73.33789576,88.29096392,74.85688312,79.15193308,97.17630317,55.2986663,63.49703062,27.81414651,14.4329195,54.68618493,57.77749794,40.12480776,80.65918546,63.4205319,62.00535741,24.19243188,51.14741318,52.1524549,36.66741012,68.15822471,30.51719609,51.69751763,41.14045302,32.30507992,67.59635681,60.97650453,36.72369818,33.44591204,80.2775349,80.29364011,61.92736019,60.32723137,61.99856543,46.78606438,54.99432992,84.38530796,76.28820611,57.39835359,50.50381581,63.25713483,70.63121544,74.59285901,83.8191644
"5",81.36284964,93.11403764,113.9965161,126.2471987,117.6674348,158.1701821,126.7715123,145.9101832,140.8349075,107.5344128,189.329706,202.892259,97.69476412,108.4225867,205.0118303,124.5975819,128.9702546,144.2586304,86.93722228,87.93909426,63.30540989,93.09234817,77.48190169,61.46892477,85.81795181,70.79475347,60.02126299,106.1800848,181.4098567,80.72137847,176.2059934,107.3215788,106.0481849,146.4159741,184.3880688,181.5463565,61.5787716,35.51529645,30.9547734,60.60576301,47.42123026,50.36588248,73.67626448,41.47112362,51.85682367,62.40524979,60.77186432,71.79120252,87.84791186,73.34236792,78.23049597,96.57236202,54.5733377,63.46105375,29.65423647,17.16763367,57.78172655,57.45352675,39.87253692,80.73786641,63.46208796,61.03909437,23.75975769,50.55082523,52.0207998,36.3759427,67.56584443,30.10533107,50.72376946,40.89427579,31.67416967,67.24586718,60.85394059,37.42367665,33.11616573,80.84264095,80.48249555,62.46317974,60.52819804,61.35555302,47.10486307,55.16160705,85.82390851,76.6704498,57.77728633,50.72333055,63.78379834,71.80084802,73.90639281,83.72982156
"6",79.34173925,94.68789793,114.4063986,127.5759719,118.0439508,158.3385602,127.2633778,145.720303,140.9629211,107.6549986,189.3423645,203.9096082,98.2893049,109.1490963,206.1752222,125.6617718,128.8849382,144.1062589,88.20766942,91.47203416,65.27520083,93.68987146,77.60577313,61.72642613,86.17214755,72.12115767,60.13989226,107.3811751,181.9586564,79.90193632,177.0150852,107.7380529,107.1135092,146.9258036,185.3674854,182.7776897,62.92018897,37.11252121,32.01584684,61.76512451,46.80220925,50.40186013,73.11646723,40.92051368,52.25100714,63.23582229,61.15080677,73.82877028,88.12320793,72.89862395,78.82604549,96.92759644,54.9305799,64.46112293,30.84372367,16.4897599,61.23658885,57.63356461,39.67926445,81.62448099,62.94986004,61.4199085,23.62320966,51.39329945,52.66652244,36.7596726,68.54219323,30.64322005,49.10311954,41.81952115,31.42875418,66.83689867,61.81925462,36.66048011,33.52535562,80.40624119,81.05305951,63.19124871,60.23647201,62.11232535,47.48099502,54.96225845,83.72401817,77.22616706,58.34452041,49.86905097,64.92515211,72.59609842,75.06130957,83.89677788
"7",81.6270966,95.04303354,115.7013595,128.2304146,118.4136442,157.9813414,127.5821837,145.6057242,140.4848032,109.5741531,189.6295516,202.9051302,97.10790826,108.5124794,206.2767837,125.4182653,126.851795,144.4985262,89.79415724,92.51319277,66.49911313,93.98221341,77.66343753,61.79310332,86.32383268,72.4036934,60.48909508,107.0856759,181.0694258,80.37286433,177.0371484,107.6862806,105.793555,147.3014745,185.5723048,182.6553466,64.19687556,37.89362151,35.37628068,63.31085812,47.61714953,50.91825006,73.39288626,41.26547397,52.86508849,63.18391516,60.8654755,72.93273222,87.88654248,73.23233721,77.79920603,96.78075297,55.04846508,65.15125349,32.93953535,18.0175161,61.50010717,57.05695205,40.48699849,81.50025086,62.76896882,61.18998293,23.98633291,50.99500517,52.28879654,37.03071676,68.36258904,30.96393978,49.08935828,41.24144763,31.81690601,66.98502277,61.0489825,37.10015483,34.20004978,80.30471652,80.16925448,61.47511519,59.87884274,61.19859646,46.99957464,54.106391,84.08696343,76.52184436,57.97233948,49.99212209,65.22661616,72.5508202,74.19487937,84.96731472
"8",82.87961439,95.92001879,117.5769988,128.776135,118.0705837,158.5543416,128.0422468,145.6281797,141.0991099,109.3003873,190.2196019,204.1628605,98.09022597,108.4713697,205.9130298,126.1667348,126.9878939,144.3199048,89.13934071,109.2750097,69.0524705,93.84863048,78.1403666,61.84829114,86.60569191,72.38308785,60.62465581,108.1543683,180.6478114,80.41400649,177.0448586,107.7673447,106.6469486,148.6096814,187.4009013,183.6304521,65.08606047,40.30481991,36.1136499,62.05650255,48.14361145,52.09048212,72.9932467,41.03819504,53.52897076,64.39214764,62.07447717,73.50135279,88.00689106,72.88417724,78.43080515,97.8144978,55.27160773,65.43670515,33.7599851,19.59970457,63.92232129,57.45542818,39.62378707,81.44226945,62.94983857,60.47856967,23.67092742,51.23613248,52.85217137,36.21406187,69.1859073,31.12332641,48.48418742,41.39993045,31.3760392,66.67630579,60.37485446,37.09059337,33.34359468,80.79417859,80.17167113,62.12865303,59.52770377,61.9144885,48.62389008,55.17509513,83.54468295,77.01923758,58.24948458,49.91531359,65.37443872,73.11040361,74.50140773,85.70093865
"9",81.92597237,95.88298295,117.1506714,129.1823145,117.1906638,158.2998508,127.4588672,144.4448271,139.2378609,108.6533897,189.6095243,203.3177388,97.06612935,108.2955354,205.2770024,125.3645998,126.439307,143.7631474,90.75572173,111.7445675,69.23501249,94.02152303,77.29164006,62.81585953,85.51103341,72.06318309,60.50754952,106.9140779,180.3317138,79.39719851,177.0598873,107.6750788,106.6664812,147.5131077,186.70012,183.1938454,65.79717033,40.58417013,36.49081291,62.20747834,47.39188865,51.07757131,72.30100509,40.80351961,52.86336794,62.86712404,60.33107409,73.90221479,87.29491994,72.16164236,77.2874646,98.3278667,54.76837509,64.233842,33.70036928,18.77346682,65.27905997,56.93852495,39.78437351,81.89574313,62.79343544,60.34884943,23.43031236,50.81304989,51.78204109,34.77824067,68.00574203,31.40807675,48.32560412,41.08336758,30.85246461,66.60290423,61.21685414,36.95854267,34.02318723,80.74264176,80.65831621,61.71356532,59.91421815,60.88423332,47.61219215,54.46100694,84.10660016,77.4329545,58.74020227,49.98302695,66.07552713,73.92405674,74.50990796,86.24763264
"10",82.52705047,97.46963507,117.3064462,129.1960298,117.5518949,157.4281549,127.0061436,144.35042,139.4446514,109.1287283,189.5780031,203.7067578,96.61703284,108.7223995,206.0729863,124.0258603,126.2389859,144.1526877,90.3497313,111.8457622,70.70090112,93.2223672,77.69376357,62.14339763,85.55698768,72.74818016,61.29757687,107.3138221,180.4850429,78.27583734,177.263655,107.6088875,107.5449239,147.6465595,188.8108117,182.7259407,66.74617773,39.7797046,37.31310847,62.42644006,46.55241172,50.50355654,72.33616708,40.00704201,52.68941715,63.52330159,60.07591282,72.52229756,88.16783804,72.00032806,76.45509746,98.61125224,54.96476733,64.88579931,34.07852959,19.88847666,67.05242013,56.81078545,39.51310786,81.06509821,62.74989338,59.71754561,22.63503091,51.46921582,51.23100591,34.04459658,68.00541022,30.55878355,47.72135428,40.83381143,30.2974213,65.2099099,60.43414453,37.07562519,33.98138056,80.13583082,80.44973803,61.09241442,58.91600249,60.52881339,47.78838149,54.65234735,82.52893375,77.00931297,58.19869831,49.30902509,65.74332326,73.70994325,72.91238103,85.92598592
