"","S1.1","S1.2","S1.3","S1.4","S1.5","S1.6","S1.7","S1.8","S1.9","S1.10","S1.11","S1.12","S1.13","S1.14","S1.15","S1.16","S1.17","S1.18","S2.1","S2.2","S2.3","S2.4","S2.5","S2.6","S2.7","S2.8","S2.9","S2.10","S2.11","S2.12","S2.13","S2.14","S2.15","S2.16","S2.17","S2.18","S3.1","S3.2","S3.3","S3.4","S3.5","S3.6","S3.7","S3.8","S3.9","S3.10","S3.11","S3.12","S3.13","S3.14","S3.15","S3.16","S3.17","S3.18","S4.1","S4.2","S4.3","S4.4","S4.5","S4.6","S4.7","S4.8","S4.9","S4.10","S4.11","S4.12","S4.13","S4.14","S4.15","S4.16","S4.17","S4.18","S5.1","S5.2","S5.3","S5.4","S5.5","S5.6","S5.7","S5.8","S5.9","S5.10","S5.11","S5.12","S5.13","S5.14","S5.15","S5.16","S5.17","S5.18"
"1",53.14405162,58.83159011,76.33476316,71.50580458,97.97600854,105.3700859,60.77099976,98.3431854,120.1237379,72.40635037,90.06868306,99.38067191,35.91631458,83.52210542,122.322796,52.52107063,86.23556768,108.5189814,17.70545277,7.46769368,10.29090185,36.18656533,44.58203218,36.14592134,35.23005428,32.06830058,41.00133878,43.24198747,36.00382546,36.78792866,30.33067076,44.96883495,26.31130092,28.45499707,39.49490839,60.35830489,10.5113369,5.339216806,-3.838015048,7.137259849,17.19682365,21.89057317,8.895312554,7.871461836,18.4788396,7.727783943,15.40311323,16.12965331,22.02011567,17.92207152,28.32810207,37.03842551,31.31670213,20.99585168,20.81328832,11.73649305,17.85332116,11.99491065,-3.868738212,6.754802339,1.835476924,28.28710299,21.21768351,35.41774105,16.06726267,14.7246477,-8.93530363,13.42104019,8.096418121,7.718234119,22.70097525,6.02368228,20.02618662,11.47943347,23.32966805,3.787388681,-8.083345003,4.548335591,9.384834055,18.68287459,16.11204278,29.09179071,16.91425544,10.67596286,7.517469747,2.142567849,0.862366355,3.925107025,11.29682711,24.92586999
"2",56.54596342,63.21714822,81.19389332,77.47586518,94.3986922,102.7888073,65.04160436,95.77522426,117.2202353,76.22400124,88.18739578,95.73284236,40.0907112,81.46877643,119.8702276,55.81584981,84.70197698,106.2858757,20.8261078,11.61940917,14.90884367,35.72210333,44.9513977,36.97074191,35.48489628,31.99822895,41.20788591,44.31044608,36.08998852,37.21109665,30.7175875,45.13458863,26.91723327,28.23115218,39.6089794,60.63125681,15.00680643,10.19808318,0.151985781,8.3017974,17.87146851,22.65494932,9.739263935,8.492470415,18.6382831,8.727091781,16.52441749,17.40468409,23.16381606,18.5272265,30.02503091,38.2545152,31.98549504,21.51046081,19.05419871,11.29573129,18.10484727,12.45991258,-3.048990264,7.217036164,2.824749671,29.87751072,21.03421728,35.08926307,16.35586269,15.00471326,-8.349417707,14.16057821,8.525725467,8.312207994,23.46759715,6.038365786,19.41606679,11.66906344,22.98647871,4.266882104,-8.296368351,5.051345172,10.49131373,19.0038106,16.87292151,32.51526978,16.64844668,10.96353946,7.777293788,2.661303665,0.714660137,4.430550745,11.32981746,24.78781633
"3",60.77966299,65.86991071,84.77990791,79.75353624,92.7052596,102.0681818,66.28134441,95.02133998,116.2884388,76.41123141,87.67353202,94.52054774,40.23268559,80.63254905,118.6171905,56.2309564,83.84171001,105.44237,23.19765095,13.89058717,17.8272942,35.30926549,45.00383863,37.28489694,35.53383508,31.82302814,41.60039254,43.62497923,36.05093432,37.05399785,30.46190363,44.95970757,27.08151969,28.73937325,40.25336922,60.92456397,16.91573331,12.42403034,2.963191428,8.185073159,17.88261061,22.43373686,9.734958357,7.719913372,18.4941042,8.566217409,15.86111696,16.8468079,23.51092818,17.96908884,29.61570864,37.62823682,31.74752559,21.6863893,18.40739486,10.73091579,18.25771889,12.45181505,-3.221044947,7.235485384,2.57297107,30.26714041,21.07276257,34.05429784,15.73854689,14.73835589,-8.673119589,13.98278579,8.316347516,8.654039406,23.23571578,6.04608009,18.81131812,11.83713828,22.97077613,4.153456756,-8.370279927,5.482132313,10.96664331,18.87462421,16.8709635,32.45905125,16.66529694,10.63263778,7.637162387,2.624946798,0.755103611,4.41676793,10.99092298,25.19669347
"4",62.29237177,68.77956076,86.53279429,79.7324569,92.13017436,101.6230051,65.35893834,94.74066326,116.1194008,75.7991573,87.5361901,93.8600045,40.07936479,80.11715627,117.8533174,56.53256707,83.08510957,105.0322479,23.87233976,15.37394635,19.80298911,35.50192917,44.33558352,37.3489677,35.5916066,31.65571719,41.66973514,42.49327278,36.15610826,37.45886255,30.33649159,44.24381696,26.40654791,28.80042879,40.22772689,61.11741272,18.95799585,13.23037361,3.912407423,8.91144469,18.10299382,22.40733138,9.493435648,8.021473555,18.22555151,8.139645198,15.55844811,17.02580885,22.9847718,17.68032298,29.92281524,37.41463413,32.089748,21.78758847,18.01050625,11.59649764,18.08813063,12.7464659,-2.647472931,7.000631919,1.577566099,30.83771736,20.56197476,33.39613633,14.89171517,13.9692677,-8.118212453,13.83387826,8.317454597,8.051220194,23.67803241,5.387216422,19.54205312,12.06220361,22.75795973,4.442402779,-7.672025889,5.328530048,10.26717662,18.38446912,16.63141902,32.59560654,16.88332336,10.83747745,7.154175969,2.509040491,1.399853515,4.529846842,10.66158482,24.51465081
"5",64.38190974,70.05286675,87.28500952,79.69588435,92.03317581,102.3929278,65.53697294,94.58277125,115.5115602,75.99861049,87.36441473,93.59297508,40.06202363,80.12466075,116.344884,56.59174386,82.92458326,105.111746,25.0960576,15.7262642,18.62957504,35.90278588,43.84513922,37.22071328,35.40838476,31.3456957,41.52872631,41.31909751,35.87558013,36.46017705,29.85160634,44.09119985,26.42199817,28.42197266,40.44279854,61.41894317,18.83779006,13.73352306,4.747885654,8.693953512,18.01687869,22.42931671,8.160038015,7.684910806,17.87974434,7.507241722,15.51830174,15.75737472,22.89063903,17.36578516,29.27919257,37.01255193,31.89720836,21.23472451,17.55951793,11.6770342,18.36517658,12.52020803,-2.477066751,7.350297256,1.188697048,31.29703422,21.43095283,33.4292416,14.73893292,13.94360286,-8.066622793,14.23190304,8.322529013,8.771453711,23.81316562,6.356851958,19.17914003,11.87863552,23.62000728,4.105208629,-7.582335177,5.792219378,10.78388692,19.30724782,17.07047921,32.94447292,16.98858584,10.69389106,7.806680642,2.982005959,1.658148945,5.455182312,11.59587661,24.87003048
"6",64.77772344,70.4637785,87.25790189,79.82522418,91.54045598,101.404755,64.99411514,94.13917247,114.2411564,75.15122864,86.66028543,92.85687393,39.21122399,79.0325975,114.395952,55.74409185,81.80363689,103.6397472,24.78420777,15.9480289,20.03509895,35.59267467,43.20408236,36.67902036,33.56421607,30.88016927,41.47631575,40.32500461,35.46301669,36.07529223,29.68932364,43.55919229,26.03658243,28.06660825,39.7067175,61.04711615,19.94979267,14.70544458,4.871800372,9.166610898,18.10673105,22.58797086,8.893416097,7.827199114,17.36884223,6.987812487,14.84525907,16.08978125,22.93282512,16.89590944,28.61229057,36.42501476,31.55003917,20.5052172,17.65914283,11.93291594,18.02689079,12.64701069,-2.326915855,7.413665955,1.615648844,31.47379758,21.25014134,32.91718049,14.78646841,13.64814801,-7.841226745,13.68131094,8.399267333,9.092312455,23.9543835,5.890350313,19.12731062,11.95134343,23.86363326,4.900076651,-7.154666856,6.160122378,11.13855682,19.42459626,16.90556565,32.10253569,17.05012656,11.04198156,7.704691546,3.10118096,2.101509388,5.841069703,11.81305834,25.0559363
"7",64.94379229,70.63980708,87.96303936,79.1260834,91.14698534,101.1740644,64.71811992,93.83583191,113.9652798,75.42430587,86.59234459,92.79900205,39.33903222,78.98233245,114.1997096,55.16411306,81.32166167,104.0290681,25.86821955,15.86013871,19.9753857,35.78660117,42.76774534,37.38307351,33.97612347,31.38815046,41.61394276,39.98228825,35.74457574,35.2676748,29.94247718,43.49495511,25.93878679,28.45395533,39.64469749,61.38111566,19.43852032,14.46731618,5.342034948,8.14823189,17.90087599,22.37528319,8.164554554,6.959973681,17.70345939,7.103822434,14.65857695,16.11872316,22.5792633,16.88310233,28.37674601,36.28365306,31.48469024,20.98033198,17.28931443,12.27738919,18.22122476,12.56920653,-2.483803114,7.485157543,1.479398042,30.67141256,20.82645103,32.44802113,14.48554221,13.72909357,-7.756083194,13.81995365,8.226168543,9.242664929,24.28802864,6.272502877,19.17936981,12.14590847,23.76370615,5.270049713,-7.21159691,5.774606227,10.97605465,19.4952109,17.03502339,32.4124811,17.11957729,10.76729617,7.694783434,3.650155381,1.858760101,5.475311927,11.8556967,24.93722976
"8",65.49765245,71.04418686,88.29076189,80.0072805,91.50322369,101.2802563,64.9977493,93.83194671,113.8085805,75.44251961,86.48063774,92.23241212,40.10377434,79.49447573,113.3246261,56.31989979,81.61325449,103.6192713,25.89067433,16.62368691,20.07474848,35.63761995,42.25651717,37.0465219,34.07122917,30.93505223,41.24480935,39.28819075,35.03367768,34.64682108,29.95230863,43.43122194,25.55887934,28.15643299,39.73323817,60.84013927,19.92550753,13.79591021,4.312318951,8.518219628,17.62588701,21.72909636,8.411284167,7.04096743,16.39544779,6.330325685,13.90627181,15.14964472,22.35001666,16.29706588,27.53897377,35.7333645,31.31013631,21.05796259,16.87527788,12.19273817,17.86530533,12.53988882,-2.248111679,7.454642179,1.371937826,30.93267764,21.08957406,31.37212819,13.94058892,13.51103575,-8.114553319,13.68216436,8.248271738,8.635096179,23.38357622,5.777276388,19.97646775,11.8248286,23.62922637,5.241578363,-6.682004196,6.223203589,10.72643947,19.71379428,16.86170561,31.90557128,17.51459819,10.96737308,7.294591659,3.553744433,1.921631427,5.554706518,11.37904825,24.77405076
"9",64.98361757,70.35224714,88.09423993,78.7439766,90.8465472,101.3225519,63.99017422,93.55857278,112.7392929,74.65020138,86.09504345,92.01852096,39.29995596,78.73185288,112.6340593,55.12077173,80.74816836,102.9026972,25.86667223,16.06333146,19.88387431,36.02636593,42.85667608,37.01487411,33.93327891,30.79880553,41.64567795,38.36236595,34.80560484,34.83722618,29.50569454,43.36644275,25.37432596,28.05246616,39.53316128,61.72575483,20.10191784,14.98867037,5.679235126,8.340005208,17.64045571,21.94932245,8.594028393,6.706002414,17.10223152,6.341791261,14.1763144,15.45893292,21.65313568,15.89209385,28.23721635,35.40751549,30.9147555,20.74015046,16.72310731,12.28694918,17.95578973,12.75737117,-1.892672162,7.308397138,1.408327778,30.61681076,21.09021838,31.94546036,14.30462382,13.37748381,-7.69107174,13.73397102,8.483842531,9.734265753,24.00193295,5.845537813,19.97581795,12.07138585,24.48943878,5.952388753,-6.527651841,6.289153517,10.91163953,19.93337126,16.61680376,32.10060117,17.40772397,11.66111599,7.731591021,3.576269888,2.124675147,5.758557451,11.97253529,24.6231433
"10",65.58463494,69.93784188,87.76709748,78.83625238,90.61682071,100.4533879,63.84430764,93.24955673,111.9918624,74.09076107,84.86167339,91.3553192,39.07826342,78.40678102,111.6194987,54.93485936,80.50987765,102.8419929,26.11376579,16.7299039,21.08863205,35.80969793,42.65621255,37.48348733,34.20357494,31.48212713,42.85175301,37.78097744,35.04215982,34.91082586,29.06436683,42.84929824,24.45030809,28.34418191,39.80998815,61.38113437,19.8764356,15.11321796,5.366356765,8.298294198,17.33195841,21.72798924,7.795506652,6.306170292,16.39037757,5.891806428,13.70119497,15.32787417,21.41837066,16.10848513,27.65168468,35.21569502,31.0758031,20.65138439,16.39043966,12.32692589,18.18349505,12.53439049,-1.553940657,7.290978436,1.229340074,30.82841663,20.77852743,31.03081575,13.73256829,12.87388293,-8.408920206,12.9575291,8.256809091,9.492641752,23.88153251,5.466505073,19.96864059,12.04144474,23.83263593,5.956374672,-6.629911827,6.557138617,11.02448017,19.43702047,16.67340314,31.41821718,17.33304377,11.01568796,7.495844524,3.785068452,2.167278579,5.900039564,11.96858896,24.71592451
"11",65.46835978,70.24454472,87.59906852,77.5674671,90.13520261,100.8224409,63.11129012,92.59989118,111.5996038,74.00084802,84.89510743,90.45701231,38.43805561,77.77369352,111.1653947,54.87824418,80.20623829,102.1041278,25.77044011,16.2761941,20.521729,35.90900275,41.83958078,36.39214442,34.48419396,31.06055752,42.52598805,37.40515939,35.13514426,34.03699959,29.15413998,42.80696168,24.43621555,28.31578998,39.26789393,61.36047114,19.30322265,14.94955298,6.661398135,8.27821688,17.40409095,22.0344471,7.689454662,6.40738282,16.14790464,5.759508229,13.64166184,14.6582379,21.40033137,15.63710068,27.45177757,34.88174728,31.18987485,20.5744681,15.9043904,12.71221953,18.09542519,12.74829051,-1.250509557,7.461616785,1.876613376,30.62240778,21.15327623,30.6796598,13.82299563,13.0763967,-7.782185859,13.53815851,8.109870999,9.210712179,23.86925698,6.057585935,19.77526501,11.82187631,23.77995226,6.185974448,-6.343284668,6.750483711,10.84803545,19.65945598,16.91318147,31.3145503,17.85233209,11.34141688,7.883247463,4.223977874,2.327772947,6.632965169,12.385435,24.93392538
"12",65.021983,70.04677376,88.19156929,78.01873107,89.67424831,100.6335442,63.00372321,92.54038064,111.3399758,73.81441959,84.36114629,90.17247541,38.04546264,77.68620555,110.8588462,54.47634988,79.74286229,102.1224009,26.1438038,16.49938635,21.25955462,35.8177265,41.45407026,36.75107011,34.3217278,30.45426512,42.24309986,37.36329671,35.13270566,34.40970448,29.03963663,42.21402804,23.68122475,28.64734395,40.06298026,61.83797119,19.92935132,15.08381291,6.367311219,8.548547144,17.56184737,21.65588658,7.100542676,6.246044768,15.91010214,5.261650969,13.19095658,15.02201236,20.8949059,15.54607523,26.09168399,34.16818213,30.74875427,20.89737455,16.00287725,12.03842709,17.82890098,12.79413149,-2.071689985,6.680067956,1.342147718,30.03482547,20.83045999,30.21451093,13.7107524,12.57245537,-8.0010493,13.19092332,8.259529442,9.402123068,24.09640888,5.250449407,19.86216662,12.07064758,23.49029291,5.677098699,-6.155217012,6.397884491,10.47698866,19.49590113,16.50106733,30.5254317,16.97197925,11.21879294,7.055727612,3.730381497,2.16132077,5.774684782,11.94802584,24.76907151
